name|Price|Raiting|Votes|5|3|Pointer Device|Web Camera|Included Software|HDD Capacity|Keyboard|Brand|Audio I/O Channels|Sales Package|Ideal For|RAID Configurations|
[]|['16']|['Rs. 33,890                ']|['6']|['4.1']|['Dell Inspiron 15 3537 Laptop (4th Gen Ci3/ 2GB/ 500GB/ Win8.1/ 1GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['26']|['Rs. 37,500                ']|['10']|['4.5']|['HP Pavilion 15-n205TX Laptop (3rd Gen Ci3 4GB/ 500GB/ Win8.1/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|[]|['Rs. 53,800                ']|[]|['4.5']|['Lenovo Z50-70 Notebook (4th Gen Ci5/ 8GB/ 1TB/ Win8.1/ 4GB Graph) (59-427802)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['52']|['Rs. 62,350                ']|['25']|['4.2']|['Dell Inspiron 15 Laptop (4th Gen Ci7/ 8GB/ 1TB/ Win8/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['31']|['Rs. 43,900                ']|['21']|['4.4']|['Lenovo Z50-70 Notebook (4th Gen Ci5/ 4GB/ 1TB/ Free DOS/ 2GB Graph) (59-419439)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['10']|['Rs. 34,350                ']|['3']|['4.2']|['Lenovo Ideapad S510p (59-398253) Laptop (4th Gen Ci3/ 2GB/ 500GB/ Win8.1)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['16']|['Rs. 40,330                ']|['9']|['4.2']|['Dell Inspiron 15 3542 Notebook (4th Gen Ci5/ 4GB/ 1TB/ Ubuntu/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['39']|['Rs. 34,750                ']|['20']|['4.4']|['Acer Aspire E1-572 Laptop (4th Gen Ci5/ 4GB/ 500GB/ Linux) (NX.M8ESI.002)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['14']|['Rs. 24,400                ']|['7']|['3.9']|['Lenovo G50-45 Notebook (APU Quad Core A6/ 4GB/ 500GB/ Win8.1) (80E300GWIN)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['18']|['Rs. 29,499                ']|['5']|['4.1']|['Asus T100TA-DK002H Transformer Book (Atom/ 2GB/ 32GB/Win 8.1)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['21']|[]|['6']|['4.8']|['HP Pavilion 15-p027TX Notebook (4th Gen Ci3/ 4GB/ 1TB/ Win8.1/ 2GB Graph) (J2C46PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['21']|['Rs. 40,170                ']|['14']|['4.3']|['HP 15-r007TX Notebook (4th Gen Ci5/ 4GB/ 1TB/ Free DOS/ 2GB Graph) (G8D31PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['16']|['Rs. 41,490                ']|['8']|['3.4']|['Dell Vostro 14 3446 Notebook (4th Gen Ci5/ 4GB/ 500GB/ Win8.1/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['12']|['Rs. 37,490                ']|['3']|['3.8']|['Dell Inspiron 15 3542 Notebook (4th Gen Ci3/ 4GB/ 500GB/ Win8.1/ Touch)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['14']|[]|['9']|['4.5']|['HP 15-P073TX Notebook (4th Gen Ci7/ 8GB/ 1TB/ Win8.1/ 2GB Graph) (J6L90PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['5']|[]|['2']|['4.2']|['Dell Vostro 3546 Notebook (4th Gen Ci3/ 4GB/ 1TB/ Ubuntu) (3546341TBiGU)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['16']|[]|['8']|['4.2']|['HP 15-p029TX Notebook (4th Gen Ci3/ 4GB/ 1TB/ Win8.1/ 2GB Graph) (J2C48PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['18']|['Rs. 27,460                ']|['7']|['4.3']|['Dell Vostro 14 3445 Notebook (APU Quad Core A6/ 4GB/ 500GB/ Ubuntu/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['29']|['Rs. 32,480                ']|['12']|['4.2']|['Lenovo Essential G500s(59-383022) Laptop (3rd Gen Ci3/ 2GB/ 1TB/ DOS/ 1GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['33']|['Rs. 26,900                ']|['18']|['4.1']|['Asus X550CA-XO702D Laptop (3rd Gen Ci3/ 2GB/ 500GB/ DOS)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['13']|['Rs. 26,490                ']|['6']|['4.3']|['Toshiba Satellite C50-A I001C Laptop (3rd Gen Ci3/ 2GB/ 500GB/ No OS)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
